Analyzed file:	D:\Ьрушёђ№\Video\00022.MTS
 Coordinate: [67 x 134 from (160, 143)]
+Object's Й: 1
 Coordinate: [78 x 156 from (573, 175)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [67 x 134 from (160, 143)]
+Object's Й: 1
 Coordinate: [78 x 156 from (573, 175)]
Frame Й	400 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [67 x 134 from (160, 137)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [67 x 134 from (160, 137)]
Frame Й	401 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (59, 246)]
+Object's Й: 1
 Coordinate: [69 x 138 from (159, 133)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (59, 246)]
+Object's Й: 1
 Coordinate: [69 x 138 from (159, 133)]
Frame Й	402 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [69 x 138 from (159, 133)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [69 x 138 from (159, 133)]
Frame Й	403 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [69 x 138 from (159, 133)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [69 x 138 from (159, 133)]
Frame Й	404 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	405 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	406 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [121 x 241 from (60, 226)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [121 x 241 from (60, 226)]
Frame Й	407 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	408 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [114 x 228 from (60, 226)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [114 x 228 from (60, 226)]
Frame Й	409 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [71 x 142 from (158, 116)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [71 x 142 from (158, 116)]
Frame Й	410 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	411 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	412 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [100 x 200 from (69, 223)]
+Object's Й: 1
 Coordinate: [67 x 134 from (160, 109)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [100 x 200 from (69, 223)]
+Object's Й: 1
 Coordinate: [67 x 134 from (160, 109)]
Frame Й	413 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [67 x 134 from (160, 109)]
+Object's Й: 1
 Coordinate: [108 x 216 from (67, 213)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [67 x 134 from (160, 109)]
+Object's Й: 1
 Coordinate: [108 x 216 from (67, 213)]
Frame Й	414 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [106 x 213 from (66, 212)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [106 x 213 from (66, 212)]
Frame Й	415 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [111 x 222 from (64, 206)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [111 x 222 from (64, 206)]
Frame Й	416 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [112 x 225 from (63, 202)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [112 x 225 from (63, 202)]
Frame Й	417 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [117 x 234 from (63, 194)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [117 x 234 from (63, 194)]
Frame Й	418 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [124 x 247 from (61, 186)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [124 x 247 from (61, 186)]
Frame Й	419 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [126 x 251 from (58, 180)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [126 x 251 from (58, 180)]
Frame Й	420 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [126 x 252 from (61, 175)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [126 x 252 from (61, 175)]
Frame Й	421 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [123 x 245 from (64, 175)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [123 x 245 from (64, 175)]
Frame Й	422 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [126 x 253 from (62, 168)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [126 x 253 from (62, 168)]
Frame Й	423 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [134 x 267 from (59, 159)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [134 x 267 from (59, 159)]
Frame Й	424 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [126 x 252 from (62, 160)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [126 x 252 from (62, 160)]
Frame Й	425 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [130 x 259 from (60, 153)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [130 x 259 from (60, 153)]
Frame Й	426 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [126 x 252 from (62, 157)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [126 x 252 from (62, 157)]
Frame Й	427 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (71, 166)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [113 x 226 from (71, 166)]
Frame Й	428 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [111 x 222 from (72, 170)]
+Object's Й: 1
 Coordinate: [67 x 134 from (185, 53)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [111 x 222 from (72, 170)]
+Object's Й: 1
 Coordinate: [67 x 134 from (185, 53)]
Frame Й	429 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [123 x 246 from (67, 162)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [123 x 246 from (67, 162)]
Frame Й	430 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [118 x 236 from (65, 157)]
+Object's Й: 1
 Coordinate: [104 x 209 from (221, 280)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [118 x 236 from (65, 157)]
+Object's Й: 1
 Coordinate: [104 x 209 from (221, 280)]
Frame Й	431 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [111 x 222 from (218, 268)]
+Object's Й: 1
 Coordinate: [121 x 242 from (65, 147)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [111 x 222 from (218, 268)]
+Object's Й: 1
 Coordinate: [121 x 242 from (65, 147)]
Frame Й	432 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [128 x 257 from (63, 138)]
+Object's Й: 1
 Coordinate: [108 x 216 from (221, 264)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [128 x 257 from (63, 138)]
+Object's Й: 1
 Coordinate: [108 x 216 from (221, 264)]
Frame Й	433 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [127 x 253 from (64, 142)]
+Object's Й: 1
 Coordinate: [113 x 226 from (220, 252)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [127 x 253 from (64, 142)]
+Object's Й: 1
 Coordinate: [113 x 226 from (220, 252)]
Frame Й	434 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [126 x 251 from (64, 143)]
+Object's Й: 1
 Coordinate: [112 x 225 from (216, 251)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [126 x 251 from (64, 143)]
+Object's Й: 1
 Coordinate: [112 x 225 from (216, 251)]
Frame Й	435 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [123 x 245 from (65, 141)]
+Object's Й: 1
 Coordinate: [119 x 238 from (219, 242)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [123 x 245 from (65, 141)]
+Object's Й: 1
 Coordinate: [119 x 238 from (219, 242)]
Frame Й	436 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [124 x 248 from (64, 135)]
+Object's Й: 1
 Coordinate: [118 x 236 from (221, 242)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [124 x 248 from (64, 135)]
+Object's Й: 1
 Coordinate: [118 x 236 from (221, 242)]
Frame Й	437 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [119 x 237 from (69, 143)]
+Object's Й: 1
 Coordinate: [114 x 228 from (226, 239)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [119 x 237 from (69, 143)]
+Object's Й: 1
 Coordinate: [114 x 228 from (226, 239)]
Frame Й	438 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [121 x 242 from (67, 134)]
+Object's Й: 1
 Coordinate: [127 x 254 from (221, 221)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [121 x 242 from (67, 134)]
+Object's Й: 1
 Coordinate: [127 x 254 from (221, 221)]
Frame Й	439 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [121 x 242 from (67, 131)]
+Object's Й: 1
 Coordinate: [108 x 217 from (232, 232)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [121 x 242 from (67, 131)]
+Object's Й: 1
 Coordinate: [108 x 217 from (232, 232)]
Frame Й	440 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [123 x 246 from (65, 129)]
+Object's Й: 1
 Coordinate: [118 x 236 from (228, 228)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [123 x 246 from (65, 129)]
+Object's Й: 1
 Coordinate: [118 x 236 from (228, 228)]
Frame Й	441 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [119 x 237 from (67, 130)]
+Object's Й: 1
 Coordinate: [107 x 215 from (234, 221)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [119 x 237 from (67, 130)]
+Object's Й: 1
 Coordinate: [107 x 215 from (234, 221)]
Frame Й	442 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [123 x 246 from (63, 122)]
+Object's Й: 1
 Coordinate: [102 x 203 from (240, 220)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [123 x 246 from (63, 122)]
+Object's Й: 1
 Coordinate: [102 x 203 from (240, 220)]
Frame Й	443 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [117 x 234 from (68, 126)]
+Object's Й: 1
 Coordinate: [100 x 200 from (245, 216)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [117 x 234 from (68, 126)]
+Object's Й: 1
 Coordinate: [100 x 200 from (245, 216)]
Frame Й	444 ----------------------
Object's on frame in detect:	4
+Object's Й: 0
 Coordinate: [117 x 234 from (68, 126)]
+Object's Й: 1
 Coordinate: [83 x 166 from (93, 152)]
+Object's Й: 2
 Coordinate: [98 x 196 from (247, 214)]
+Object's Й: 3
 Coordinate: [78 x 156 from (68, 190)]
				-----rejected------
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [117 x 234 from (68, 126)]
+Object's Й: 1
 Coordinate: [98 x 196 from (247, 214)]
Frame Й	445 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [111 x 221 from (73, 127)]
+Object's Й: 1
 Coordinate: [107 x 213 from (244, 204)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [111 x 221 from (73, 127)]
+Object's Й: 1
 Coordinate: [107 x 213 from (244, 204)]
Frame Й	446 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [108 x 217 from (245, 196)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [108 x 217 from (245, 196)]
Frame Й	447 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [112 x 224 from (244, 192)]
+Object's Й: 1
 Coordinate: [111 x 223 from (78, 125)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [112 x 224 from (244, 192)]
+Object's Й: 1
 Coordinate: [111 x 223 from (78, 125)]
Frame Й	448 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [110 x 220 from (247, 189)]
+Object's Й: 1
 Coordinate: [106 x 212 from (81, 127)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [110 x 220 from (247, 189)]
+Object's Й: 1
 Coordinate: [106 x 212 from (81, 127)]
Frame Й	449 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [118 x 237 from (244, 182)]
+Object's Й: 1
 Coordinate: [101 x 202 from (84, 127)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [118 x 237 from (244, 182)]
+Object's Й: 1
 Coordinate: [101 x 202 from (84, 127)]
Frame Й	450 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [117 x 234 from (247, 178)]
+Object's Й: 1
 Coordinate: [99 x 198 from (86, 130)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [117 x 234 from (247, 178)]
+Object's Й: 1
 Coordinate: [99 x 198 from (86, 130)]
Frame Й	451 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [112 x 225 from (250, 176)]
+Object's Й: 1
 Coordinate: [104 x 208 from (83, 125)]
+Object's Й: 2
 Coordinate: [66 x 132 from (146, 36)]
Object's on frame in detect_filter:	3
+Object's Й: 0
 Coordinate: [112 x 225 from (250, 176)]
+Object's Й: 1
 Coordinate: [104 x 208 from (83, 125)]
+Object's Й: 2
 Coordinate: [66 x 132 from (146, 36)]
Frame Й	452 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [112 x 223 from (78, 110)]
+Object's Й: 1
 Coordinate: [121 x 242 from (248, 165)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [112 x 223 from (78, 110)]
+Object's Й: 1
 Coordinate: [121 x 242 from (248, 165)]
Frame Й	453 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [103 x 206 from (256, 174)]
+Object's Й: 1
 Coordinate: [110 x 220 from (80, 112)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [103 x 206 from (256, 174)]
+Object's Й: 1
 Coordinate: [110 x 220 from (80, 112)]
Frame Й	454 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [108 x 217 from (81, 110)]
+Object's Й: 1
 Coordinate: [95 x 190 from (261, 172)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [108 x 217 from (81, 110)]
+Object's Й: 1
 Coordinate: [95 x 190 from (261, 172)]
Frame Й	455 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [96 x 192 from (263, 167)]
+Object's Й: 1
 Coordinate: [97 x 194 from (88, 117)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [96 x 192 from (263, 167)]
+Object's Й: 1
 Coordinate: [97 x 194 from (88, 117)]
Frame Й	456 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [95 x 191 from (90, 115)]
+Object's Й: 1
 Coordinate: [100 x 199 from (260, 158)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [95 x 191 from (90, 115)]
+Object's Й: 1
 Coordinate: [100 x 199 from (260, 158)]
Frame Й	457 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [97 x 195 from (90, 112)]
+Object's Й: 1
 Coordinate: [104 x 209 from (258, 151)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [97 x 195 from (90, 112)]
+Object's Й: 1
 Coordinate: [104 x 209 from (258, 151)]
Frame Й	458 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [94 x 188 from (91, 109)]
+Object's Й: 1
 Coordinate: [106 x 213 from (258, 148)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [94 x 188 from (91, 109)]
+Object's Й: 1
 Coordinate: [106 x 213 from (258, 148)]
Frame Й	459 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [114 x 227 from (255, 140)]
+Object's Й: 1
 Coordinate: [93 x 185 from (91, 108)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [114 x 227 from (255, 140)]
+Object's Й: 1
 Coordinate: [93 x 185 from (91, 108)]
Frame Й	460 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [116 x 232 from (256, 136)]
+Object's Й: 1
 Coordinate: [91 x 181 from (93, 108)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [116 x 232 from (256, 136)]
+Object's Й: 1
 Coordinate: [91 x 181 from (93, 108)]
Frame Й	461 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [118 x 236 from (257, 132)]
+Object's Й: 1
 Coordinate: [92 x 184 from (93, 106)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [118 x 236 from (257, 132)]
+Object's Й: 1
 Coordinate: [92 x 184 from (93, 106)]
Frame Й	462 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [95 x 190 from (92, 104)]
+Object's Й: 1
 Coordinate: [114 x 227 from (262, 131)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [95 x 190 from (92, 104)]
+Object's Й: 1
 Coordinate: [114 x 227 from (262, 131)]
Frame Й	463 ----------------------
Object's on frame in detect:	3
+Object's Й: 0
 Coordinate: [98 x 197 from (92, 100)]
+Object's Й: 1
 Coordinate: [117 x 234 from (263, 126)]
+Object's Й: 2
 Coordinate: [77 x 154 from (282, 148)]
				-----rejected------
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [98 x 197 from (92, 100)]
+Object's Й: 1
 Coordinate: [117 x 234 from (263, 126)]
Frame Й	464 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [117 x 235 from (257, 120)]
+Object's Й: 1
 Coordinate: [94 x 187 from (94, 101)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [117 x 235 from (257, 120)]
+Object's Й: 1
 Coordinate: [94 x 187 from (94, 101)]
Frame Й	465 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [93 x 187 from (95, 101)]
+Object's Й: 1
 Coordinate: [101 x 202 from (272, 124)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [93 x 187 from (95, 101)]
+Object's Й: 1
 Coordinate: [101 x 202 from (272, 124)]
Frame Й	466 ----------------------
Obje
